review_id,employee_id,review_date,reviewer_id,rating,goals_met,promotion_recommended,comments
20001,10001,2024-10-08,13140,3,FALSE,FALSE,Meets expectations; room for growth.
20002,10002,2024-12-25,,3,TRUE,FALSE,Meets expectations; room for growth.
20003,,2025-01-02,13133,3,TRUE,FALSE,Meets expectations; room for growth.
20004,10004,2024-06-04,11209,5,TRUE,FALSE,Outstanding contributor; top performer.
20005,10005,2025-04-07,11743,4,TRUE,FALSE,Strong performance; exceeds expectations.
20006,10006,2025-08-03,10365,5,TRUE,FALSE,Outstanding contributor; top performer.
20007,10007,2024-09-14,13240,3,TRUE,FALSE,Meets expectations; room for growth.
20008,10008,2024-07-30,10352,4,TRUE,FALSE,Strong performance; exceeds expectations.
20009,10009,2024-03-08,13042,4,TRUE,FALSE,Strong performance; exceeds expectations.
20010,10010,2025-06-03,10465,4,FALSE,FALSE,Strong performance; exceeds expectations.
,10011,2024-06-17,12472,5,FALSE,,Outstanding contributor; top performer.
20012,10012,2024-12-18,12291,4,TRUE,FALSE,Strong performance; exceeds expectations.
20013,10013,2024-06-12,11292,4,TRUE,TRUE,Strong performance; exceeds expectations.
20014,10014,2025-08-28,10858,5,TRUE,TRUE,Outstanding contributor; top performer.
,10015,2024-11-18,12623,3,TRUE,FALSE,Meets expectations; room for growth.
20016,10016,2024-04-05,11157,3,FALSE,FALSE,Meets expectations; room for growth.
20017,10017,2024-06-28,13261,4,TRUE,TRUE,Strong performance; exceeds expectations.
20018,10018,2025-10-14,10454,3,TRUE,FALSE,Meets expectations; room for growth.
20019,10019,2023-12-24,10785,4,TRUE,FALSE,Strong performance; exceeds expectations.
20020,10020,2024-10-20,,,TRUE,FALSE,Strong performance; exceeds expectations.
20021,10021,2024-08-26,12140,2,TRUE,FALSE,Needs improvement in key areas.
20022,10022,2025-06-01,12046,4,TRUE,FALSE,Strong performance; exceeds expectations.
20023,10023,,10231,4,FALSE,FALSE,Strong performance; exceeds expectations.
20024,10024,2024-08-19,10365,4,FALSE,FALSE,Strong performance; exceeds expectations.
20025,10025,2025-05-13,12887,5,FALSE,FALSE,Outstanding contributor; top performer.
20026,10026,2024-01-17,11929,3,FALSE,FALSE,Meets expectations; room for growth.
20027,10027,2024-12-11,11837,4,FALSE,TRUE,Strong performance; exceeds expectations.
20028,10028,2025-03-16,13108,4,TRUE,FALSE,Strong performance; exceeds expectations.
20029,10029,2024-05-13,10137,5,TRUE,FALSE,Outstanding contributor; top performer.
20030,10030,2025-08-28,,3,TRUE,FALSE,Meets expectations; room for growth.
20031,10031,2023-12-20,13104,4,TRUE,FALSE,Strong performance; exceeds expectations.
20032,10032,2025-08-30,11037,3,FALSE,FALSE,Meets expectations; room for growth.
20033,10033,2025-04-07,12782,3,TRUE,FALSE,Meets expectations; room for growth.
20034,10034,2025-01-20,10582,4,TRUE,FALSE,Strong performance; exceeds expectations.
20035,10035,2025-02-02,12703,4,TRUE,FALSE,Strong performance; exceeds expectations.
20036,10036,,10332,3,TRUE,FALSE,
20037,10037,2025-11-16,13298,4,,FALSE,Strong performance; exceeds expectations.
20038,10038,,10076,4,TRUE,FALSE,Strong performance; exceeds expectations.
20039,10039,2025-02-22,11514,3,TRUE,FALSE,
20040,10040,2025-08-18,11638,2,,FALSE,Needs improvement in key areas.
20041,10041,2025-09-05,11731,2,TRUE,FALSE,Needs improvement in key areas.
20042,10042,2025-11-06,12887,2,TRUE,FALSE,Needs improvement in key areas.
20043,10043,2024-10-29,12372,3,TRUE,FALSE,Meets expectations; room for growth.
20044,10044,2023-12-14,11139,1,FALSE,FALSE,Needs improvement in key areas.
20045,10045,2024-10-17,11033,3,,FALSE,Meets expectations; room for growth.
20046,10046,2024-10-05,11837,3,TRUE,FALSE,Meets expectations; room for growth.
20047,10047,,13434,4,FALSE,FALSE,Strong performance; exceeds expectations.
20048,10048,2024-03-29,11508,5,TRUE,TRUE,Outstanding contributor; top performer.
