employee_id,salary_gross,currency,pay_frequency,bonus,effective_date
10001,4398,GHS,Monthly,131,2025-12-02
10002,2843,GHS,Biweekly,284,2025-12-02
10003,7809,GHS,Monthly,,2025-12-02
,3022,GHS,Monthly,0,2025-12-02
10005,7977,GHS,Monthly,398,2025-12-02
10006,3454,GHS,Monthly,172,2025-12-02
10007,16911,GHS,Monthly,2536,2025-12-02
10008,6150,GHS,Biweekly,615,2025-12-02
10009,2601,GHS,Biweekly,0,
10010,3045,GHS,Biweekly,0,2025-12-02
10011,3148,GHS,Biweekly,94,2025-12-02
10012,,GHS,Biweekly,1454,2025-12-02
10013,5461,GHS,Biweekly,546,2025-12-02
10014,2839,GHS,Monthly,0,2025-12-02
10015,12572,GHS,Biweekly,0,2025-12-02
10016,8883,GHS,Monthly,888,2025-12-02
10017,1990,GHS,Biweekly,59,2025-12-02
10018,13069,GHS,Monthly,653,2025-12-02
10019,4979,GHS,Biweekly,497,2025-12-02
10020,5274,GHS,Biweekly,0,2025-12-02
10021,4862,GHS,Biweekly,145,2025-12-02
10022,8707,GHS,Biweekly,1306,2025-12-02
10023,2426,GHS,Monthly,121,2025-12-02
10024,1700,GHS,Biweekly,85,2025-12-02
10025,9068,GHS,Biweekly,453,2025-12-02
10026,1424,GHS,Monthly,213,
10027,7851,GHS,Monthly,235,2025-12-02
10028,6006,GHS,Biweekly,900,2025-12-02
10029,9571,GHS,Monthly,957,2025-12-02
,6075,GHS,Biweekly,607,2025-12-02
10031,3279,GHS,Monthly,327,2025-12-02
10032,12932,GHS,Monthly,646,2025-12-02
10033,6928,GHS,Monthly,0,2025-12-02
10034,11196,GHS,Monthly,0,2025-12-02
10035,4439,GHS,Monthly,221,2025-12-02
10036,8422,GHS,Biweekly,0,2025-12-02
10037,7243,GHS,Biweekly,362,
10038,1955,GHS,Monthly,58,
10039,6539,GHS,Biweekly,0,2025-12-02
10040,4637,GHS,Biweekly,,2025-12-02
10041,1615,GHS,Monthly,161,2025-12-02
10042,6623,GHS,Biweekly,198,2025-12-02
10043,2514,GHS,Biweekly,125,2025-12-02
10044,3853,GHS,Monthly,0,2025-12-02
10045,4002,GHS,,0,2025-12-02
10046,12720,GHS,Monthly,381,2025-12-02
10047,10684,GHS,Biweekly,0,2025-12-02
10048,5520,GHS,,0,2025-12-02
10049,4484,GHS,Monthly,224,2025-12-02
,4460,GHS,Monthly,446,2025-12-02
10051,7345,GHS,Monthly,,2025-12-02
10052,2590,GHS,Biweekly,388,2025-12-02
10053,14467,GHS,Monthly,,2025-12-02
10054,5865,GHS,,175,2025-12-02
10055,7715,GHS,Biweekly,1157,2025-12-02
10056,1777,GHS,Monthly,0,2025-12-02
10057,6385,GHS,Biweekly,638,
10058,9120,GHS,Monthly,0,2025-12-02
10059,1263,GHS,Biweekly,126,2025-12-02
10060,6664,GHS,Biweekly,333,2025-12-02
10061,6967,GHS,Biweekly,696,2025-12-02
10062,7268,GHS,Biweekly,1090,2025-12-02
10063,6611,GHS,Biweekly,198,2025-12-02
10064,18982,GHS,Biweekly,0,2025-12-02
10065,7825,GHS,Monthly,0,2025-12-02
10066,11702,GHS,Monthly,585,2025-12-02
10067,13180,GHS,Monthly,1977,2025-12-02
10068,4742,GHS,Monthly,474,2025-12-02
10069,15289,GHS,Monthly,2293,2025-12-02
10070,8344,GHS,Monthly,834,2025-12-02
10071,1378,GHS,Biweekly,41,2025-12-02
10072,3779,GHS,Biweekly,0,2025-12-02
10073,3096,GHS,Monthly,464,2025-12-02
10074,2178,GHS,Monthly,108,2025-12-02
10075,7345,GHS,Monthly,220,2025-12-02
10076,15629,GHS,Biweekly,,2025-12-02
10077,6231,GHS,Monthly,934,2025-12-02
,8633,GHS,Monthly,0,2025-12-02
10079,7772,GHS,Monthly,233,2025-12-02
10080,8782,GHS,Biweekly,0,2025-12-02
10081,3757,GHS,Biweekly,0,2025-12-02
10082,7344,GHS,Monthly,220,2025-12-02
10083,16819,GHS,Monthly,2522,2025-12-02
10084,3769,GHS,Biweekly,113,2025-12-02
,3443,GHS,Biweekly,0,2025-12-02
10086,2993,GHS,,299,2025-12-02
10087,9364,GHS,Monthly,280,2025-12-02
10088,2084,GHS,Biweekly,0,2025-12-02
10089,2796,GHS,Monthly,279,2025-12-02
10090,10812,GHS,Monthly,1081,2025-12-02
10091,3598,GHS,Biweekly,359,2025-12-02
10092,2447,GHS,Biweekly,122,2025-12-02
10093,1920,GHS,Monthly,192,2025-12-02
10094,16455,GHS,Monthly,822,2025-12-02
10095,11235,GHS,Biweekly,1123,2025-12-02
10096,5419,GHS,Biweekly,162,2025-12-02
10097,4187,GHS,Biweekly,0,2025-12-02
10098,5347,GHS,Biweekly,534,2025-12-02
10099,4706,GHS,Biweekly,705,2025-12-02
10100,9456,GHS,,945,2025-12-02
10101,3750,GHS,Biweekly,112,2025-12-02
10102,7233,GHS,Biweekly,216,2025-12-02
10103,,GHS,Biweekly,84,2025-12-02
10104,4333,GHS,Monthly,433,2025-12-02
10105,3728,GHS,Monthly,559,2025-12-02
10106,5683,GHS,Biweekly,0,2025-12-02
10107,6961,GHS,Biweekly,696,2025-12-02
10108,2748,GHS,Monthly,137,2025-12-02
10109,3604,GHS,Monthly,180,2025-12-02
10110,1523,GHS,Biweekly,152,2025-12-02
10111,,GHS,Monthly,401,2025-12-02
10112,9581,GHS,,1437,2025-12-02
10113,6641,GHS,Monthly,996,2025-12-02
10114,10306,GHS,Monthly,1030,2025-12-02
10115,10845,GHS,Monthly,0,2025-12-02
10116,7769,GHS,Monthly,0,2025-12-02
10117,2472,GHS,Monthly,74,2025-12-02
10118,9722,GHS,Biweekly,,2025-12-02
10119,7764,GHS,Biweekly,,2025-12-02
10120,4516,GHS,Monthly,677,2025-12-02
10121,6314,GHS,Monthly,189,2025-12-02
10122,6529,GHS,Monthly,326,2025-12-02
10123,5102,GHS,Monthly,0,2025-12-02
10124,5457,GHS,Monthly,545,2025-12-02
10125,11213,GHS,Monthly,1121,
10126,7025,GHS,,0,2025-12-02
10127,4416,GHS,Biweekly,220,2025-12-02
10128,3608,GHS,Monthly,108,2025-12-02
10129,2650,GHS,Biweekly,79,2025-12-02
10130,7644,GHS,Biweekly,1146,2025-12-02
10131,4432,GHS,Biweekly,221,
10132,2364,GHS,Biweekly,118,2025-12-02
10133,4155,GHS,Biweekly,415,2025-12-02
10134,9124,GHS,Monthly,,2025-12-02
10135,1952,GHS,Biweekly,195,2025-12-02
10136,,GHS,Biweekly,280,2025-12-02
10137,9020,GHS,Biweekly,270,2025-12-02
10138,1303,GHS,Biweekly,0,2025-12-02
10139,4529,GHS,Monthly,679,2025-12-02
10140,2193,GHS,Biweekly,0,2025-12-02
10141,10097,GHS,Biweekly,504,2025-12-02
10142,8961,GHS,Biweekly,0,
10143,2579,GHS,Monthly,257,2025-12-02
10144,7384,GHS,Monthly,1107,2025-12-02
10145,8054,GHS,Monthly,402,2025-12-02
10146,6806,GHS,Monthly,1020,2025-12-02
10147,2970,GHS,Biweekly,,2025-12-02
10148,11679,GHS,Monthly,350,2025-12-02
10149,12135,GHS,Biweekly,0,2025-12-02
10150,7848,GHS,Biweekly,392,2025-12-02
10151,7644,GHS,Biweekly,1146,2025-12-02
10152,7879,GHS,Monthly,787,2025-12-02
10153,8224,GHS,Monthly,411,2025-12-02
10154,13034,GHS,Monthly,0,2025-12-02
10155,5689,,Monthly,568,2025-12-02
10156,3587,GHS,,538,2025-12-02
10157,10877,GHS,Biweekly,0,2025-12-02
10158,8815,GHS,Monthly,0,2025-12-02
10159,1300,GHS,Monthly,195,2025-12-02
10160,2539,GHS,Monthly,380,2025-12-02
10161,2659,GHS,Biweekly,,2025-12-02
